ID_Cliente,Nombre,Apellido,Email,Telefono,Fecha_Registro,Pais,Ciudad,Direccion,Codigo_Postal,Tipo_Cliente,Ultima_Compra_Fecha,Total_Gastado_EUR,Numero_Compras,Fuente_Adquisicion,Activo,Notas_Internas
CL0013,Ángeles,Berenguer,ángeles.berenguer@yahoo.com,+34 822263627,2023-01-07,Suecia,Asturias,Paseo Ceferino Narváez 53,34299,Premium,2025-02-17,2942.0,35,Web,True,Nesciunt earum mollitia eaque odio voluptates.
CL0014,Obdulia,Elorza,obdulia.elorza@hotmail.com,+34902 58 32 61,2023-12-14,Andorra,Ceuta,Plaza de Lucho Bru 116 Piso 6 ,08587,Basic,2024-11-01,624.09,44,Anuncio Online,True,
CL0015,Agapito,Guillen,agapito.guillen@yahoo.com,+34900 647 723,2023-05-02,Qatar,Soria,Vial de Nacio Pujadas 37,46913,Standard,2023-11-06,1236.48,48,Anuncio Online,True,
CL0016,Jose Manuel,Pardo,jose.pardo@gmail.com,+34 823 151 840,2022-09-21,República Unida de Tanzanía,Melilla,Plaza Alma Mariño 7 Puerta 3 ,39217,Basic,2023-11-27,210.27,15,Anuncio Online,True,
CL0017,Elisabet,Pérez,elisabet.pérez@yahoo.com,+34848167172,2023-01-22,Perú,Santa Cruz de Tenerife,Avenida de Joaquín Campos 41 Piso 4 ,01818,Basic,2024-08-27,3247.55,35,Anuncio Online,False,Quasi nesciunt hic libero tempore explicabo.
CL0018,Carla,Roman,carla.roman@yahoo.com,+34867277397,2023-02-03,Afganistán,Las Palmas,Avenida Rafaela Dalmau 47,31248,Premium,2023-06-26,2243.01,3,Redes Sociales,False,
CL0019,Fito,Reguera,fito.reguera@yahoo.com,+34822 27 64 37,2022-06-07,Maldivas,Málaga,Callejón Amado Lledó 6 Apt. 79 ,09422,Standard,2024-12-07,845.88,48,Anuncio Online,True,
CL0020,Toni,Roda,toni.roda@gmail.com,+34885438441,2022-06-16,Angola,Salamanca,Calle de Angelino Priego 86,52093,Premium,2024-09-22,1593.37,31,Anuncio Online,True,
CL0021,Rosalina,Angulo,rosalina.angulo@yahoo.com,+34 972 82 24 51,2023-10-23,Guinea Bissau,Granada,Cuesta Adela Requena 9,02160,Premium,2023-11-25,3532.52,20,Redes Sociales,True,
CL0022,Alfonso,Chaves,alfonso.chaves@gmail.com,+34 701804830,2023-11-04,San Vicente y las Granadinas,Valencia,Cuesta de Poncio Baeza 119 Puerta 3 ,28043,Premium,2024-11-11,2164.43,6,Referido,True,
CL0023,María Teresa,Morcillo,maría.morcillo@hotmail.com,+34 975211050,2024-12-30,Zimbabwe,Lleida,Alameda de Graciela Lastra 93,05044,Premium,2025-03-12,742.7,34,Web,True,Quidem similique accusamus quia.
CL0024,Agustín,Francisco,agustín.francisco@gmail.com,+34 822 82 56 93,2023-03-27,Libia,Sevilla,Pasaje de María Del Carmen Galván 833 Apt. 98 ,26986,Standard,2023-08-27,3765.39,44,Referido,False,
CL0025,Amador,Jurado,amador.jurado@yahoo.com,+34 945 91 22 38,2022-05-11,Vietman,Santa Cruz de Tenerife,Via de Camilo Carreras 99 Puerta 5 ,44490,Basic,2024-08-05,4117.3,15,Redes Sociales,True,
CL0026,Petrona,Abellán,petrona.abellán@gmail.com,+34883 64 18 40,2022-07-14,Kenya,Ourense,Pasaje de Hortensia Sabater 67 Piso 3 ,16002,Basic,2024-09-10,3733.15,33,Referido,False,
CL0027,Ariel,Pera,ariel.pera@hotmail.com,+34 733 87 84 04,2024-11-18,Haití,Ciudad,Ronda de Isabela Cabrera 4,33649,Standard,2024-11-21,2891.96,21,Redes Sociales,True,
CL0028,Teófilo,Sarabia,teófilo.sarabia@hotmail.com,+34968 22 36 71,2025-02-11,República Democrática del Congo,Granada,Via Paz Mayol 81 Piso 7 ,20535,Basic,2025-03-25,2355.93,5,Redes Sociales,False,
CL0029,Pepe,Vélez,pepe.vélez@gmail.com,+34847861668,2024-04-20,Chile,Lugo,Cañada de Felicia Montenegro 420,19611,Premium,2024-09-20,3417.7,47,Redes Sociales,False,
CL0030,Reinaldo,Fabregat,reinaldo.fabregat@gmail.com,+34900 95 21 23,2022-08-25,Países Bajos,Pontevedra,Cuesta Delfina Fuertes 240 Apt. 23 ,11605,Standard,2024-08-30,4931.13,7,Evento,True,
CL0031,René,Asenjo,rené.asenjo@hotmail.com,+34 714679241,2023-08-22,Guinea Ecuatorial,La Coruña,Cuesta de Susanita Lara 45 Piso 2 ,31633,Standard,2025-01-24,4132.77,7,Redes Sociales,True,
CL0032,Gilberto,Bernal,gilberto.bernal@yahoo.com,+34 876 09 97 85,2025-02-08,Barbados,Valladolid,C. de Ruth Torrens 61,20908,Basic,2025-02-17,3712.66,26,Evento,True,
CL0033,Eva María,Tenorio,eva.tenorio@gmail.com,+34901 18 03 88,2022-06-02,Burkina Faso,Lugo,Cuesta Estrella Leiva 50 Apt. 18 ,03449,Premium,2023-01-11,4932.81,42,Anuncio Online,True,Eligendi laudantium perferendis dolores.
CL0034,Germán,Ballesteros,germán.ballesteros@gmail.com,+34 942 693 025,2022-05-28,Pakistán,Toledo,Calle de Clara Pujol 123,51626,Basic,,0,0,Evento,True,
CL0035,Ciríaco,Riquelme,ciríaco.riquelme@hotmail.com,+34807 976 307,2023-05-08,Cuba,Valencia,Pasaje Malena Ribera 27 Piso 9 ,18453,Premium,2023-11-22,1170.12,49,Evento,False,
CL0036,Lalo,Ibáñez,lalo.ibáñez@yahoo.com,+34947535215,2022-11-05,Albania,Ourense,Pasadizo Bartolomé Alvarado 482,19051,Standard,2024-04-19,2766.34,30,Redes Sociales,True,
CL0037,Ofelia,Iglesias,ofelia.iglesias@yahoo.com,+34877 04 60 28,2022-05-03,Alemania,Murcia,Calle Balduino Bolaños 61 Piso 0 ,03306,Premium,2023-02-02,4168.59,4,Anuncio Online,True,
CL0038,Rita,Lucas,rita.lucas@yahoo.com,+34875 70 67 58,2023-11-29,Finlandia,Cuenca,Paseo Amanda Quiroga 41,13202,Basic,,0,0,Redes Sociales,False,
CL0039,Ricarda,Tejada,ricarda.tejada@hotmail.com,+34878 85 99 77,2024-07-21,Chipre,Jaén,Via de Marcos Villanueva 77 Apt. 02 ,13041,Basic,2024-12-19,3028.9,46,Evento,True,
CL0040,Alondra,Pi,alondra.pi@hotmail.com,+34948027286,2023-11-19,Antigua y Barbuda,Almería,Acceso Elisabet Bauzà 673,07509,Standard,2024-01-12,2151.46,18,Redes Sociales,False,
CL0041,Reyes,Pascual,reyes.pascual@yahoo.com,+34 981182784,2023-01-14,Bolivia,Alicante,Glorieta Bibiana Salgado 82 Apt. 06 ,18560,Standard,2024-02-23,567.84,3,Anuncio Online,True,
CL0042,Leandra,Bonet,leandra.bonet@yahoo.com,+34 941043054,2023-04-18,Somalia,Pontevedra,Vial de Noé Marti 6 Apt. 33 ,16729,Basic,2023-08-08,1553.46,12,Web,False,
CL0043,Camila,Jiménez,camila.jiménez@gmail.com,+34 841525374,2024-07-20,Zambia,Huelva,Via de Gabriel Bartolomé 84 Apt. 13 ,06733,Premium,2024-10-31,3896.2,48,Referido,True,
CL0044,Graciana,Juárez,graciana.juárez@hotmail.com,+34821554271,2023-03-10,Tuvalu,Zamora,C. Oriana Olivares 92 Piso 3 ,09786,Standard,2023-04-04,2047.03,32,Redes Sociales,True,
CL0045,Ángeles,Piña,ángeles.piña@gmail.com,+34 879 04 52 53,2023-01-20,Brunei Darussalam,Ciudad,Rambla de Belén Gracia 80 Puerta 6 ,17827,Premium,2024-02-16,321.02,37,Redes Sociales,False,
CL0046,Flavio,Fernandez,flavio.fernandez@yahoo.com,+34 983 287 243,2023-11-06,Samoa,Alicante,Cañada Modesta Blanco 980,27676,Premium,2025-03-16,325.6,33,Anuncio Online,False,
CL0047,Samuel,Ibáñez,samuel.ibáñez@gmail.com,+34928142051,2024-01-30,Liechtenstein,Badajoz,Paseo de Jeremías Sabater 37 Puerta 2 ,35013,Standard,2024-10-23,684.21,33,Anuncio Online,False,
CL0048,Néstor,Mancebo,néstor.mancebo@yahoo.com,+34 807 12 38 76,2025-01-06,Angola,Almería,Avenida Che Cortes 59 Piso 5 ,09051,Standard,2025-03-29,2316.41,36,Evento,False,Cupiditate architecto aspernatur distinctio minima.
CL0049,Augusto,Peña,augusto.peña@yahoo.com,+34872 28 95 91,2022-06-04,Montenegro,Baleares,Pasaje Yéssica Acedo 32,22091,Standard,2022-12-15,1701.31,29,Evento,True,
CL0050,Jeremías,Rios,jeremías.rios@hotmail.com,+34942399808,2023-10-28,Liberia,Palencia,C. Belen Quesada 11,11740,Standard,2023-12-09,2570.72,14,Evento,False,
CL0051,Elodia,Zabaleta,elodia.zabaleta@gmail.com,+34733285432,2022-07-09,Cabo Verde,Soria,Ronda Marcial Pellicer 760 Apt. 24 ,39449,Standard,,0,0,Redes Sociales,True,
CL0052,Brunilda,Caballero,brunilda.caballero@hotmail.com,+34 925 17 85 10,2023-10-25,Armenia,Alicante,Paseo de Amelia Becerra 82 Piso 7 ,20114,Premium,2024-11-03,4046.48,37,Referido,False,
CL0053,Adoración,Alcalá,adoración.alcalá@yahoo.com,+34 927 673 772,2024-01-16,Tonga,Guipúzcoa,Ronda de Fulgencio Madrid 16 Puerta 1 ,32606,Basic,2024-08-18,3048.84,25,Web,True,
CL0054,Mónica,Llorens,mónica.llorens@gmail.com,+34979981493,2024-03-11,República de Moldova,La Coruña,Calle Olga España 7,48255,Standard,2025-03-17,873.95,44,Referido,False,
CL0055,Ximena,Tomás,ximena.tomás@hotmail.com,+34 901836785,2024-01-27,Venezuela,Santa Cruz de Tenerife,Plaza de Ruth Arco 82 Piso 3 ,27311,Premium,2024-02-12,1559.0,34,Redes Sociales,False,
CL0056,Azeneth,González,azeneth.gonzález@gmail.com,+34 901 794 407,2023-03-28,Turkmenistán,Murcia,Alameda de Patricio Noriega 3,48011,Basic,2023-10-18,1823.41,16,Referido,False,
CL0057,Jordana,Arana,jordana.arana@hotmail.com,+34922 74 25 48,2024-01-11,República Democrática Popular Lao,La Rioja,Via de Eliana Francisco 632,09590,Premium,,0,0,Evento,True,
CL0058,Amaro,Mendez,amaro.mendez@hotmail.com,+34 839 560 758,2023-01-31,Canadá,Castellón,Vial de Natalio Blanca 85 Piso 3 ,02866,Basic,2023-09-09,2155.3,36,Redes Sociales,True,
CL0059,Toño,Pastor,toño.pastor@yahoo.com,+34923272059,2024-07-15,Bangladesh,Huesca,Avenida de Valero Herranz 7 Puerta 9 ,08187,Basic,2024-09-29,3415.95,37,Web,False,Saepe quibusdam illo delectus illo doloribus temporibus.
CL0060,Zaira,Fuster,zaira.fuster@hotmail.com,+34827448040,2024-09-09,Singapur,Valladolid,C. de Eduardo Casal 29,46651,Basic,2025-01-30,3984.18,15,Anuncio Online,True,
CL0061,Valero,Tomé,valero.tomé@yahoo.com,+34 824 50 98 37,2023-04-10,Senegal,Barcelona,Camino Cándida Arias 11 Piso 6 ,33342,Basic,2024-02-04,2271.72,34,Redes Sociales,True,
CL0062,Carmela,Salom,carmela.salom@hotmail.com,+34 654 046 441,2022-12-10,Honduras,Álava,Alameda Ester Coello 51,06285,Basic,2025-01-07,843.69,27,Referido,False,
CL0063,Aureliano,Grande,aureliano.grande@yahoo.com,+34 803 89 87 26,2022-06-13,Vanuatu,Tarragona,Plaza de Edelmiro Alfonso 9 Piso 2 ,35097,Premium,2024-07-30,2686.15,27,Evento,False,
CL0064,Tristán,Hervia,tristán.hervia@gmail.com,+34 979432658,2024-07-15,Irán,Salamanca,Acceso Íngrid Ruano 53,30143,Standard,2024-11-12,1661.19,19,Web,False,
CL0065,María Luisa,Vilanova,maría.vilanova@gmail.com,+34974 72 98 30,2022-10-18,Seychelles,Castellón,Camino Lupe Riba 72,15238,Standard,2023-12-21,481.31,42,Referido,False,
CL0066,Florina,Manso,florina.manso@hotmail.com,+34949406668,2023-01-03,Camerún,La Rioja,Cuesta Valero Parejo 78,04412,Basic,,0,0,Redes Sociales,True,
CL0067,Hector,Bueno,hector.bueno@yahoo.com,+34900 047 380,2022-06-02,Azerbaiyán,Barcelona,Cuesta Segismundo Bustos 23 Apt. 61 ,51792,Premium,2023-05-05,3916.91,12,Anuncio Online,False,
CL0068,Encarna,Tejero,encarna.tejero@hotmail.com,+34 848388348,2022-04-12,Angola,Vizcaya,Callejón Mayte Viñas 62 Puerta 1 ,46727,Basic,2024-11-16,2023.15,49,Referido,False,
CL0069,Juan José,Haro,juan.haro@yahoo.com,+34 640 153 720,2023-07-24,Bahamas,Barcelona,Camino Petrona Estévez 34,36047,Standard,2025-02-27,1207.39,41,Anuncio Online,False,
CL0070,Lilia,Tomé,lilia.tomé@gmail.com,+34 841 03 34 08,2022-12-24,Chipre,Sevilla,Ronda María Ángeles Reyes 67,14796,Standard,2023-04-17,1507.33,48,Redes Sociales,False,Id facilis architecto.
CL0071,Cirino,Morillo,cirino.morillo@gmail.com,+34 886 05 83 69,2024-10-22,Líbano,León,Alameda Leyre Almeida 27 Puerta 9 ,12068,Standard,2024-11-08,3779.87,18,Evento,True,
CL0072,María Dolores,Almansa,maría.almansa@yahoo.com,+34978 17 81 57,2022-09-14,Micronesia,Córdoba,Calle de Odalis Llorens 5 Piso 2 ,20282,Premium,2024-05-10,4261.96,39,Referido,False,
CL0073,Balduino,Juliá,balduino.juliá@yahoo.com,+34886 29 79 48,2025-03-06,Austria,Granada,Paseo Guillermo Monreal 60 Piso 6 ,11263,Standard,2025-03-12,971.52,44,Evento,True,
CL0074,Flor,Bárcena,flor.bárcena@yahoo.com,+34 902530241,2024-08-31,Samoa,Navarra,Camino de Juan José Capdevila 23,16285,Standard,2024-12-22,908.97,47,Evento,True,Nemo doloremque sit molestiae fugiat.
CL0075,Eliseo,Ribes,eliseo.ribes@yahoo.com,+34 872 079 110,2023-07-20,Madagascar,Huesca,Plaza de Geraldo Parejo 1 Piso 4 ,17417,Standard,2024-11-11,957.88,47,Web,False,
CL0076,Otilia,Múgica,otilia.múgica@hotmail.com,+34 882 371 569,2025-03-24,Turquía,León,Rambla de Juan Bautista Menéndez 1 Apt. 33 ,45608,Premium,2025-03-26,3880.18,46,Redes Sociales,False,
CL0077,Olivia,Raya,olivia.raya@yahoo.com,+34 987856319,2023-10-19,Rwanda,Castellón,Camino Silvestre Iniesta 60,36236,Basic,2025-01-06,1245.78,34,Anuncio Online,True,Adipisci cupiditate dolorum ipsa veniam.
CL0078,Oriana,Barrio,oriana.barrio@yahoo.com,+34 944 87 71 47,2023-04-26,República de Macedonia del Norte,Burgos,Callejón Nadia Barranco 79,06765,Premium,2023-08-06,2752.88,36,Anuncio Online,True,
CL0079,Mirta,Benet,mirta.benet@hotmail.com,+34 839 493 884,2024-07-16,Austria,Huelva,Cañada Amancio Quevedo 83,04018,Basic,2024-11-25,4237.36,8,Evento,True,
CL0080,Priscila,Córdoba,priscila.córdoba@yahoo.com,+34 947607855,2023-06-28,Trinidad y Tabago,Cádiz,Acceso Soraya Trillo 9,40178,Premium,2024-03-23,2107.96,20,Web,False,
CL0081,Marcos,Dueñas,marcos.dueñas@hotmail.com,+34956 791 792,2025-01-01,Guinea Ecuatorial,Cuenca,Acceso de Teresita Rebollo 21 Apt. 93 ,46304,Standard,2025-01-04,2668.38,16,Redes Sociales,False,
CL0082,Flavia,Manso,flavia.manso@gmail.com,+34923 941 021,2023-10-30,Mali,Castellón,Vial Natalia Posada 619,50967,Standard,2024-06-07,4932.89,23,Evento,True,
CL0083,Ildefonso,Abellán,ildefonso.abellán@yahoo.com,+34887 92 67 78,2022-04-02,Arabia Saudita,Álava,Urbanización de Manu Valenzuela 3,22667,Standard,2023-09-09,1146.18,41,Redes Sociales,True,
CL0084,Cloe,Samper,cloe.samper@yahoo.com,+34 844 92 70 75,2023-12-07,Jamaica,Burgos,Callejón de Cruz Álvarez 67,41809,Basic,2024-01-21,478.45,11,Redes Sociales,True,Repellat doloribus temporibus in quia molestiae neque.
CL0085,Cándido,Vélez,cándido.vélez@yahoo.com,+34959 496 994,2022-09-22,Madagascar,Burgos,Callejón Duilio Cabo 14,30433,Basic,,0,0,Referido,True,
CL0086,Alicia,Valls,alicia.valls@gmail.com,+34841 524 059,2023-06-14,Armenia,Lugo,Paseo de Dan Pineda 48 Apt. 10 ,33067,Basic,2024-03-29,994.16,7,Referido,False,
CL0087,Jacinto,Guillén,jacinto.guillén@yahoo.com,+34 845789203,2022-11-24,Myanmar,Cantabria,Rambla Bibiana Agudo 4,04375,Basic,,0,0,Evento,True,Optio ullam occaecati deleniti facere quisquam.
CL0088,Marciano,Catalá,marciano.catalá@gmail.com,+34966 17 27 51,2022-11-16,Brasil,Córdoba,Cuesta Apolonia Jáuregui 230 Apt. 77 ,28773,Standard,2024-02-15,4388.95,10,Referido,True,
CL0089,Visitación,Uribe,visitación.uribe@yahoo.com,+34 931309983,2024-07-26,Colombia,Sevilla,Avenida de Merche Somoza 90,01880,Premium,2025-02-13,3948.81,14,Anuncio Online,False,
CL0090,Rolando,Morán,rolando.morán@yahoo.com,+34 733 46 56 23,2024-06-01,Japón,Valladolid,Ronda Ana Blanco 43,36383,Premium,2024-09-26,759.93,46,Anuncio Online,False,Sit veniam architecto dolore.
CL0091,Manuel,Alcalá,manuel.alcalá@hotmail.com,+34911422200,2024-02-09,Myanmar,Zaragoza,Pasadizo Juan Manuel Benito 8,39772,Standard,2024-04-24,2575.82,29,Anuncio Online,True,
CL0092,Petrona,Manjón,petrona.manjón@hotmail.com,+34 820980018,2024-03-25,Mozambique,Álava,Rambla Leire Arana 2,30949,Premium,2024-11-30,3572.76,12,Evento,False,
CL0093,Eufemia,Pujadas,eufemia.pujadas@hotmail.com,+34871751235,2023-09-27,Etiopía,Granada,Urbanización de Marina Ibañez 1 Puerta 8 ,10431,Premium,2024-01-23,604.42,15,Referido,False,
CL0094,Felicia,Riba,felicia.riba@hotmail.com,+34 925 25 12 20,2024-08-28,Jamaica,Ceuta,Ronda de Esther Mosquera 507,20584,Standard,2025-03-14,2892.01,34,Redes Sociales,False,
CL0095,Aura,Cordero,aura.cordero@yahoo.com,+34845382520,2022-11-25,Granada,Guipúzcoa,Via Olimpia Sainz 494 Apt. 22 ,06295,Premium,2022-12-21,4833.68,12,Evento,True,
CL0096,Mariana,Cantero,mariana.cantero@hotmail.com,+34844 558 414,2022-12-04,Irlanda,Ourense,Vial de Rocío Sanz 395,40963,Standard,2025-01-27,2011.28,40,Referido,False,
CL0097,Salomé,Bauzà,salomé.bauzà@hotmail.com,+34 844 295 005,2023-01-19,El Salvador,Huesca,Cañada Plácido Asenjo 100 Apt. 24 ,37544,Basic,2024-06-10,3463.77,11,Referido,False,
CL0098,Nicolasa,Gascón,nicolasa.gascón@gmail.com,+34 901 36 72 04,2022-07-17,Haití,Girona,Cuesta Cristóbal Roig 996 Piso 1 ,17815,Premium,2024-07-20,1911.72,33,Referido,False,
CL0099,Teófilo,Carbonell,teófilo.carbonell@gmail.com,+34822232120,2023-04-06,San Vicente y las Granadinas,Huelva,Cuesta Clara Rebollo 1 Puerta 1 ,18479,Standard,2024-04-10,66.46,37,Evento,False,
CL0100,María Cristina,Moliner,maría.moliner@gmail.com,+34 902439250,2024-03-20,Micronesia,Granada,Plaza Sigfrido Cerezo 1,22827,Premium,2024-06-11,3261.16,32,Web,True,Vitae soluta vel dicta.
CL0101,Jonatan,Romeu,jonatan.romeu@yahoo.com,+34 973 93 78 39,2024-05-30,Noruega,Cádiz,C. de Andrés Múgica 4,13156,Standard,2025-03-15,1861.75,42,Evento,False,
CL0102,Candelas,Verdejo,candelas.verdejo@gmail.com,+34710 294 610,2023-09-12,Panamá,Lugo,Camino de Amílcar Costa 83 Apt. 48 ,50818,Premium,2024-08-06,4588.43,21,Anuncio Online,False,
CL0103,Paulino,Puga,paulino.puga@yahoo.com,+34 921 582 807,2023-07-31,República de Macedonia del Norte,Las Palmas,Via Graciela Marco 897 Apt. 56 ,25490,Standard,2024-09-11,274.4,1,Evento,False,
CL0104,Ruth,Pulido,ruth.pulido@gmail.com,+34848 342 971,2023-05-25,Albania,Lleida,Cañada de Pastora Avilés 56 Piso 1 ,05707,Standard,,0,0,Anuncio Online,False,
CL0105,Guiomar,Coello,guiomar.coello@hotmail.com,+34 874593048,2022-11-08,Georgia,Castellón,Calle Ema Cabrera 15 Puerta 0 ,31767,Basic,2023-07-28,2373.02,19,Web,True,
CL0106,Nerea,Lopez,nerea.lopez@yahoo.com,+34 849 42 81 99,2024-02-07,Malta,Ciudad,Vial de Florentino Llamas 98,11820,Basic,,0,0,Redes Sociales,False,
CL0107,Juana,Giner,juana.giner@yahoo.com,+34875123866,2024-05-19,República Democrática del Congo,Granada,Acceso Eugenia García 7,12136,Standard,2024-08-02,4021.98,30,Redes Sociales,False,
CL0108,José María,Bernad,josé.bernad@gmail.com,+34 975650306,2024-07-04,Nueva Zelandia,Huesca,Plaza Íñigo Bas 90,40825,Standard,2024-07-17,2001.08,19,Web,True,
CL0109,Liliana,Carranza,liliana.carranza@hotmail.com,+34 973 13 85 82,2024-12-31,Guinea Bissau,Huesca,Callejón de Águeda Quero 4,40642,Standard,2025-03-28,796.89,4,Redes Sociales,False,
CL0110,Rogelio,Tur,rogelio.tur@gmail.com,+34 901 20 22 96,2025-01-26,Bélgica,Madrid,Cuesta Eric Tejada 952,10532,Standard,2025-01-27,4093.24,21,Web,True,
CL0111,Leticia,Carretero,leticia.carretero@hotmail.com,+34 925759470,2022-12-15,Tuvalu,Álava,Avenida de María Del Carmen Ferrán 46,32119,Standard,2023-04-10,4608.35,50,Evento,False,
CL0112,Aurelio,Cañete,aurelio.cañete@yahoo.com,+34800067562,2024-12-13,Libia,Navarra,Via de Lorenzo Leal 1,44376,Premium,2025-03-20,3549.95,46,Anuncio Online,False,Doloremque ex cum explicabo perferendis dicta qui.
CL0113,Florencio,Soria,florencio.soria@yahoo.com,+34820 955 516,2022-12-14,Gambia,Valencia,Paseo de Lucía Castro 8,41939,Standard,2024-04-01,2556.22,32,Anuncio Online,False,
CL0114,Victoria,Cueto,victoria.cueto@yahoo.com,+34 820 013 970,2023-10-16,Albania,Guadalajara,Camino de Magdalena Villa 52,24106,Premium,2024-03-25,1555.12,49,Referido,False,
CL0115,Beatriz,Ojeda,beatriz.ojeda@yahoo.com,+34983 832 791,2022-12-06,Estados Unidos de América,Baleares,Callejón de Lino Carrera 135 Puerta 9 ,27151,Basic,,0,0,Evento,False,
CL0116,Leyre,Granados,leyre.granados@hotmail.com,+34983 814 795,2023-09-03,Francia,Segovia,Acceso Clementina Otero 13,28374,Standard,2024-05-08,3768.35,32,Anuncio Online,True,
CL0117,Jacinta,Vendrell,jacinta.vendrell@yahoo.com,+34867 758 117,2023-08-22,Madagascar,Toledo,Avenida de Primitivo Antúnez 27 Piso 0 ,29834,Basic,2025-01-16,891.49,19,Anuncio Online,False,Neque quos quos corporis et ex doloremque blanditiis.
CL0118,Horacio,Pomares,horacio.pomares@gmail.com,+34717094722,2025-01-19,Barbados,Huesca,Via Anselmo Bermejo 36,27791,Basic,2025-03-19,4099.23,30,Web,True,Inventore provident aspernatur unde minus nisi.
CL0119,Candelario,Asenjo,candelario.asenjo@yahoo.com,+34 874 341 791,2022-09-12,Israel,Zaragoza,Pasadizo Eugenia Moles 47,24841,Premium,2023-08-07,1431.38,6,Evento,True,
CL0120,Zaira,Arana,zaira.arana@yahoo.com,+34 743718152,2023-04-13,Cuba,Granada,Avenida Josefa Chamorro 72 Puerta 9 ,49129,Standard,2024-02-02,4246.14,23,Web,True,
CL0121,Tania,Frutos,tania.frutos@hotmail.com,+34878 069 423,2024-06-25,Irán,Melilla,Acceso Amaya Marín 76,12732,Standard,2025-01-31,146.8,18,Referido,False,
CL0122,Ema,Barceló,ema.barceló@gmail.com,+34849 345 335,2024-09-18,Ucrania,Lleida,Vial de Brígida Asensio 258 Piso 1 ,37532,Standard,2024-10-05,988.74,21,Web,True,
CL0123,Aureliano,Mosquera,aureliano.mosquera@yahoo.com,+34827760172,2023-02-26,Mozambique,Cuenca,Paseo Sabina Frías 98,13823,Standard,,0,0,Referido,True,
CL0124,Urbano,Mayo,urbano.mayo@gmail.com,+34 803 41 09 08,2023-04-08,Eritrea,León,Vial Fidela Vargas 90,29413,Basic,2024-05-28,3383.58,29,Redes Sociales,False,Alias doloribus repellendus magni velit dicta dolorum.
CL0125,Arturo,Izaguirre,arturo.izaguirre@hotmail.com,+34739756619,2022-06-19,Lesotho,Barcelona,Alameda Nilda Cerro 51 Apt. 92 ,42842,Basic,2023-04-10,2783.72,12,Redes Sociales,False,
CL0126,Cecilia,Santos,cecilia.santos@gmail.com,+34 943931780,2024-03-01,Etiopía,Melilla,Vial Rosaura Cabrera 76,41412,Premium,2024-03-01,2545.14,9,Referido,True,
